YY;MM;OD;PAX
2008;2;MSPPHX;105587
2008;2;ORDPHL;86323
2008;2;ORDPHX;97567
2008;2;ORDSEA;79970
2008;2;ORDSFO;105126
2008;2;PHXSAN;108206
2008;2;PHXSEA;92623
2008;2;PHXSLC;105466
2008;2;SANSFO;103452
2008;2;SEASFO;76015
2008;3;ANCSEA;104822
2008;3;ATLBOS;114778
2008;3;ATLBWI;122282
2008;3;ATLCLT;111436
2008;3;ATLDCA;146687
2008;3;ATLDEN;132148
2008;3;ATLDFW;178464
2008;3;ATLDTW;91734
2008;3;ATLFLL;224139
2008;3;ATLJAX;124600
2008;3;ATLLAS;141869
2008;3;ATLLAX;163015
2008;3;ATLLGA;192932
2008;3;ATLMCO;261807
2008;3;ATLMIA;144896
2008;3;ATLMSP;92042
2008;3;ATLMSY;94317
2008;3;ATLORD;121927
2008;3;ATLPBI;117049
2008;3;ATLPHL;131173
2008;3;ATLPHX;134383
2008;3;ATLRDU;90924
2008;3;ATLRSW;108852
2008;3;ATLSFO;81246
2008;3;ATLTPA;183527
2008;3;AUSDFW;96768
2008;3;BOSCLT;71560
2008;3;BOSDCA;77260
2008;3;BOSORD;111401
2008;3;BOSPHL;67090
2008;3;BOSSFO;67633
2008;3;CLTDFW;61927
2008;3;CLTLGA;76598
2008;3;CLTMCO;88112
2008;3;CLTORD;84769
2008;3;DALHOU;107587
2008;3;DCAORD;122555
2008;3;DENDFW;144632
2008;3;DENIAH;100203
2008;3;DENLAS;172712
2008;3;DENLAX;152158
2008;3;DENMSP;102993
2008;3;DENORD;155759
2008;3;DENPHX;174053
2008;3;DENSAN;88440
2008;3;DENSEA;109426
2008;3;DENSFO;115867
2008;3;DENSLC;120139
2008;3;DFWLAS;114084
2008;3;DFWLAX;129872
2008;3;DFWLGA;91317
2008;3;DFWMIA;81789
2008;3;DFWORD;149439
2008;3;DFWPHX;106734
2008;3;DFWSAT;94051
2008;3;DFWSFO;70363
2008;3;DTWMCO;146003
2008;3;EWRLAX;74658
2008;3;EWRMCO;149685
2008;3;EWRORD;106035
2008;3;EWRSFO;58121
2008;3;FLLLGA;118803
2008;3;HNLITO;120572
2008;3;HNLKOA;153021
2008;3;HNLLAX;181189
2008;3;HNLLIH;161101
2008;3;HNLOGG;216062
2008;3;IADLAX;110337
2008;3;IADSFO;83898
2008;3;IAHLAX;97262
2008;3;IAHORD;88450
2008;3;JFKLAX;194787
2008;3;JFKMCO;124603
2008;3;JFKSFO;153223
2008;3;JFKSJU;113376
2008;3;LASLAX;166989
2008;3;LASORD;133582
